Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Daily);Environment:Site Outdoor Air Relative Humidity [%](Daily);BEZERREIRO:Zone Operative Temperature [C](Daily);CIRCULA:Zone Operative Temperature [C](Daily);BEZERREIRO:Zone Air Relative Humidity [%](Daily);CIRCULA:Zone Air Relative Humidity [%](Daily) 
 01/01;26,587500000000003;77,91666666666667;28,67173805574159;28,554190249676045;67,18429795263852;67,64550001571847 
 01/02;26,733854166666665;78,421875;29,68758775443167;29,51846556622353;63,08477190010614;63,67701300074012 
 01/03;22,05677083333333;82,34895833333333;29,27647755910259;29,075479560271007;65,1613897786315;65,91656441490349 
 01/04;22,032812499999996;82,03125;29,810756054134413;29,414753790400114;63,82220664004905;65,22898318142804 
 01/05;25,410937500000004;81,16666666666667;29,810369014980254;29,389837576330604;63,49649407639464;65,04148662337694 
 01/06;26,118749999999996;73,66145833333333;29,218957256978784;28,82268443122396;65,58812445303566;67,11094324497349 
 01/07;27,646874999999999;70,015625;30,09639306558854;29,69532729854305;62,21349882614268;63,62583764947535 
 01/08;23,821875000000003;66,26041666666667;30,285499385210149;29,909394628537297;61,46525235759541;62,78415676646572 
 01/09;24,865625000000006;67,47395833333333;31,226343462909794;30,8060111244807;58,50107816030167;59,868911190612589 
 01/10;22,26875;72,18229166666667;31,128778255057527;30,757642098761975;58,619645168529419;59,85798625996062 
 01/11;22,22708333333333;90,89583333333333;30,249618124984509;29,75822891288531;61,76730249803271;63,50965964634733 
 01/12;22,219791666666663;64,88541666666667;29,92148813832779;29,33852254922525;63,405664189693407;65,5212779333608 
 01/13;22,58489583333333;73,94270833333333;30,032313574765586;29,399758498618636;62,88242858136459;65,16102207259506 
 01/14;23,214583333333328;79,78645833333333;30,449065981962577;29,80884667479451;61,176942552888508;63,420201714403869 
 01/15;24,146874999999999;75,46875;30,81657810065555;30,211568276190734;59,82029795282574;61,89691238559018 
 01/16;25,343749999999998;83,61979166666667;31,06261162523845;30,510628294820905;58,98276794042761;60,84216664212989 
 01/17;26,058333333333335;75,08854166666667;31,075227554846199;30,54877791118413;58,99662396018485;60,780561865398819 
 01/18;27,51822916666667;87,89583333333333;30,72232291808085;30,257842972523276;60,10118218590845;61,722703476753938 
 01/19;29,90625;79,69270833333333;31,720800108828539;31,300115635827266;56,796522552162709;58,13738295812331 
 01/20;27,972395833333338;69,32291666666667;32,23000087971905;31,9109979593956;55,139350927087779;56,1189237297643 
 01/21;28,33854166666667;68,4375;32,30651587107245;32,01796150323775;54,71009253218609;55,59416534157851 
 01/22;25,061458333333339;66,33333333333333;32,20614689421739;31,946170546900317;55,144484459485479;55,944398474669508 
 01/23;30,38489583333333;68,56770833333333;32,93695101502741;32,64799376422245;52,852428719511468;53,68018766314871 
 01/24;27,000000000000005;70,40104166666667;32,78375597428482;32,55117419013081;53,175516683725259;53,870653242475778 
 01/25;20,51458333333333;67,77604166666667;31,561772103718785;31,240861464115154;57,657469041722119;58,69585056309955 
 01/26;21,04739583333333;68,11979166666667;31,503648176409269;31,03947279046533;57,870497716653527;59,35671895270426 
 01/27;23,844791666666678;70,79166666666667;31,458021249572579;30,97719885097376;57,76795194973176;59,339184751174119 
 01/28;27,06822916666667;74,609375;31,559531846314554;31,044645357152459;57,37584876007161;59,048043454942597 
 01/29;24,28802083333333;80,13541666666667;31,88414170960758;31,448117659868303;56,38246768460547;57,76877624220119 
 01/30;26,18541666666667;89,25520833333333;31,9318502434642;31,484918636282534;56,18316385111314;57,58834197544069 
